word;pos;definition
Oligarch;n.;A member of an oligarchy; one of the rulers in an oligarchical government.
Oligarchal;a.;Oligarchic.
Oligarchic;a.;Alt. of Oligarchical
Oligarchical;a.;Of or pertaining to oligarchy, or government by a few.
Oligarchist;n.;An advocate or supporter of oligarchy.
Oligarchies;pl. ;of Oligarchy
Oligarchy;n.;A form of government in which the supreme power is placed in the hands of a few persons; also, those who form the ruling few.
Oligist;a.;Hematite or specular iron ore; -- prob. so called in allusion to its feeble magnetism, as compared with magnetite.
Oligist;a.;Alt. of Oligistic
Oligistic;a.;Of or pertaining to hematite.
Oligo-;;A combining form from Gr. /, few, little, small.
Oligocene;a.;Of, pertaining to, or designating, certain strata which occupy an intermediate position between the Eocene and Miocene periods.
Oligocene;n.;The Oligocene period. See the Chart of Geology.
Oligochaeta;n. pl.;An order of Annelida which includes the earthworms and related species.
Oligochete;a.;Of or pertaining to the Oligochaeta.
Oligoclase;n.;A triclinic soda-lime feldspar. See Feldspar.
Oligomerous;a.;Having few members in each set of organs; as, an oligomerous flower.
Oligomyold;a.;Having few or imperfect syringeal muscles; -- said of some passerine birds (Oligomyodi).
Oligopetalous;a.;Having few petals.
Oligosepalous;a.;Having few sepals.
Oligosiderite;n.;A meteorite characterized by the presence of but a small amount of metallic iron.
Oligospermous;a.;Having few seeds.
Oligotokous;a.;Producing few young.
Olio;n.;A dish of stewed meat of different kinds.
Olio;n.;A mixture; a medley.
Olio;n.;A collection of miscellaneous pieces.
Olitory;a.;Of or pertaining to, or produced in, a kitchen garden; used for kitchen purposes; as, olitory seeds.
Oliva;n.;A genus of polished marine gastropod shells, chiefly tropical, and often beautifully colored.
Olivaceous;a.;Resembling the olive; of the color of the olive; olive-green.
Olivary;a.;Like an olive.
Olivaster;a.;Of the color of the olive; tawny.
Olive;n.;A tree (Olea Europaea) with small oblong or elliptical leaves, axillary clusters of flowers, and oval, one-seeded drupes. The tree has been cultivated for its fruit for thousands of years, and its branches are the emblems of peace. The wood is yellowish brown and beautifully variegated.
Olive;n.;The fruit of the olive. It has been much improved by cultivation, and is used for making pickles. Olive oil is pressed from its flesh.
Olive;n.;Any shell of the genus Oliva and allied genera; -- so called from the form. See Oliva.
Olive;n.;The oyster catcher.
Olive;n.;The color of the olive, a peculiar dark brownish, yellowish, or tawny green.
Olive;n.;One of the tertiary colors, composed of violet and green mixed in equal strength and proportion.
Olive;n.;An olivary body. See under Olivary.
Olive;n.;A small slice of meat seasoned, rolled up, and cooked; as, olives of beef or veal.
Olive;a.;Approaching the color of the olive; of a peculiar dark brownish, yellowish, or tawny green.
Olived;a.;Decorated or furnished with olive trees.
Olivenite;n.;An olive-green mineral, a hydrous arseniate of copper; olive ore.
Oliver;n.;An olive grove.
Oliver;n.;An olive tree.
Oliver;n.;A small tilt hammer, worked by the foot.
Oliverian;n.;An adherent of Oliver Cromwell.
Olivewood;n.;The wood of the olive.
Olivewood;n.;An Australian name given to the hard white wood of certain trees of the genus Elaeodendron, and also to the trees themselves.
Olivil;n.;A white crystalline substance, obtained from an exudation from the olive, and having a bitter-sweet taste and acid proporties.
Olivin;n.;A complex bitter gum, found on the leaves of the olive tree; -- called also olivite.
Olivine;n.;A common name of the yellowish green mineral chrysolite, esp. the variety found in eruptive rocks.
Olivite;n.;See Olivin.
Olla;n.;A pot or jar having a wide mouth; a cinerary urn, especially one of baked clay.
Olla;n.;A dish of stewed meat; an olio; an olla-podrida.
Olla-podrida;n.;A favorite Spanish dish, consisting of a mixture of several kinds of meat chopped fine, and stewed with vegetables.
Olla-podrida;n.;Any incongruous mixture or miscellaneous collection; an olio.
Ology;n.;A colloquial or humorous name for any science or branch of knowledge.
Olpe;n.;Originally, a leather flask or vessel for oils or liquids; afterward, an earthenware vase or pitcher without a spout.
Olusatrum;n.;An umbelliferous plant, the common Alexanders of Western Europe (Smyrnium Olusatrum).
Olympiad;n.;A period of four years, by which the ancient Greeks reckoned time, being the interval from one celebration of the Olympic games to another, beginning with the victory of Cor/bus in the foot race, which took place in the year 776 b.c.; as, the era of the olympiads.
Olympian;a.;Alt. of Olympic
Olympic;a.;Of or pertaining to Olympus, a mountain of Thessaly, fabled as the seat of the gods, or to Olympia, a small plain in Elis.
Olympionic;n.;An ode in honor of a victor in the Olympic games.
Omagra;n.;Gout in the shoulder.
Omahas;n. pl.;A tribe of Indians who inhabited the south side of the Missouri River. They are now partly civilized and occupy a reservation in Nebraska.
Omander wood;;The wood of Diospyros ebenaster, a kind of ebony found in Ceylon.
Omasum;n.;The third division of the stomach of ruminants. See Manyplies, and Illust. under Ruminant.
Omber;n.;Alt. of Ombre
Ombre;n.;A game at cards, borrowed from the Spaniards, and usually played by three persons.
Ombre;n.;A large Mediterranean food fish (Umbrina cirrhosa): -- called also umbra, and umbrine.
Ombrometer;n.;An instrument for measuring the rain that falls; a rain gauge.
Omega;n.;The last letter of the Greek alphabet. See Alpha.
Omega;n.;The last; the end; hence, death.
Omegoid;a.;Having the form of the Greek capital letter Omega (/).
Omelet;n.;Eggs beaten up with a little flour, etc., and cooked in a frying pan; as, a plain omelet.
Omen;n.;An occurrence supposed to portend, or show the character of, some future event; any indication or action regarded as a foreshowing; a foreboding; a presage; an augury.
Omened;imp. & p. p.;of Omen
Omening;p. pr. & vb. n.;of Omen
Omen;v. t.;To divine or to foreshow by signs or portents; to have omens or premonitions regarding; to predict; to augur; as, to omen ill of an enterprise.
Omened;a.;Attended by, or containing, an omen or omens; as, happy-omened day.
Omental;a.;Of or pertaining to an omentum or the omenta.
Omenta;pl. ;of Omentum
Omentum;n.;A free fold of the peritoneum, or one serving to connect viscera, support blood vessels, etc.; an epiploon.
Omer;n.;A Hebrew measure, the tenth of an ephah. See Ephah.
Omiletical;a.;Homiletical.
Ominate;v. t. & i.;To presage; to foreshow; to foretoken.
Omination;n.;The act of ominating; presaging.
Ominous;a.;Of or pertaining to an omen or to omens; being or exhibiting an omen; significant; portentous; -- formerly used both in a favorable and unfavorable sense; now chiefly in the latter; foreboding or foreshowing evil; inauspicious; as, an ominous dread.
Omissible;a.;Capable of being omitted; that may be omitted.
Omission;n.;The act of omitting; neglect or failure to do something required by propriety or duty.
Omission;n.;That which is omitted or is left undone.
Omissive;a.;Leaving out; omitting.
Omitted;imp. & p. p.;of Omit
Omitting;p. pr. & vb. n.;of Omit
Omit;v. t.;To let go; to leave unmentioned; not to insert or name; to drop.
Omit;v. t.;To pass by; to forbear or fail to perform or to make use of; to leave undone; to neglect.
Omittance;n.;The act of omitting, or the state of being omitted; forbearance; neglect.
Omitter;n.;One who omits.
Ommateal;a.;Of or pertaining to an ommateum.
Ommatea;pl. ;of Ommateum
Ommateum;n.;A compound eye, as of insects and crustaceans.
Ommatidia;pl. ;of Ommatidium
Ommatidium;n.;One of the single eyes forming the compound eyes of crustaceans, insects, and other invertebrates.
Omni-;;A combining form denoting all, every, everywhere; as in omnipotent, all-powerful; omnipresent.
Omnibus;n.;A long four-wheeled carriage, having seats for many people; especially, one with seats running lengthwise, used in conveying passengers short distances.
Omnibus;n.;A sheet-iron cover for articles in a leer or annealing arch, to protect them from drafts.
Omnicorporeal;a.;Comprehending or including all bodies; embracing all substance.
Omniety;n.;That which is all-pervading or all-comprehensive; hence, the Deity.
Omnifarious;a.;Of all varieties, forms, or kinds.
Omniferous;a.;All-bearing; producing all kinds.
Omnific;a.;All-creating.
Omniform;a.;Having every form or shape.
Omniformity;n.;The condition or quality of having every form.
Omnify;v. t.;To render universal; to enlarge.
Omnigenous;a.;Consisting of all kinds.
Omnigraph;n.;A pantograph.
Omniparient;a.;Producing or bringing forth all things; all-producing.
Omniparity;n.;Equality in every part; general equality.
Omniparous;a.;Producing all things; omniparient.
Omnipatient;a.;Capable of enduring all things.
Omnipercipience;n.;Alt. of Omnipercipiency
Omnipercipiency;n.;Perception of everything.
Omnipercipient;a.;Perceiving everything.
Omnipotence;n.;Alt. of Omnipotency
Omnipotency;n.;The state of being omnipotent; almighty power; hence, one who is omnipotent; the Deity.
Omnipotency;n.;Unlimited power of a particular kind; as, love's omnipotence.
Omnipotent;a.;Able in every respect and for every work; unlimited in ability; all-powerful; almighty; as, the Being that can create worlds must be omnipotent.
Omnipotent;a.;Having unlimited power of a particular kind; as, omnipotent love.
Omnipotently;adv.;In an omnipotent manner.
Omnipresence;n.;Presence in every place at the same time; unbounded or universal presence; ubiquity.
Omnipresency;n.;Omnipresence.
Omnipresent;a.;Present in all places at the same time; ubiquitous; as, the omnipresent Jehovah.
Omnipresential;a.;Implying universal presence.
Omniprevalent;a.;Prevalent everywhere or in all things.
Omniscience;n.;The quality or state of being omniscient; -- an attribute peculiar to God.
Omnisciency;n.;Omniscience.
Omniscient;a.;Having universal knowledge; knowing all things; infinitely knowing or wise; as, the omniscient God.
Omniscious;a.;All-knowing.
Omnispective;a.;Beholding everything; capable of seeing all things; all-seeing.
Omnium;n.;The aggregate value of the different stocks in which a loan to government is now usually funded.
Omnium-gatherum;n.;A miscellaneous collection of things or persons; a confused mixture; a medley.
Omnivagant;a.;Wandering anywhere and everywhere.
Omnivora;n. pl.;A group of ungulate mammals including the hog and the hippopotamus. The term is also sometimes applied to the bears, and to certain passerine birds.
Omnivorous;a.;All-devouring; eating everything indiscriminately; as, omnivorous vanity; esp. (Zool.), eating both animal and vegetable food.
